model,r2,mae,rmse
RandomForest,0.966485873951878,73735.83130043952,148216.01856177626
XGBoost,0.9628804922103882,69000.2734375,155984.78695052283
SVR (log-target),0.9549521450900554,99260.7085386346,171837.62093056273
